ESVs,Subject,species,Subject Taxonomy ID,identity,Coverage,evalue,bitscore,Source,Taxonomy
Otu0020,Amphistegina_bicirculata_Rik_9379_9380_9381_9382_Eilat,Amphistegina_bicirculata_Rik_9379_9380_9381_9382_Eilat,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0021,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0022,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,99.381,100,3.36E-170,586,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0023,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,98.142,100,5.64E-163,562,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0024,Haynesina_germanica_18209,Haynesina_germanica_18209,N/A,94.62,98,2.71E-141,490,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0025,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0026,Sorites_sp2_Spermonde,Sorites_sp2_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0027,Rosalina_sp._17595,Rosalina_sp._17595,N/A,92.857,99,1.64E-133,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0028,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,99.69,100,7.22E-172,592,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0029,Neorotalia_calcar_Spermonde,Neorotalia_calcar_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0030,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,98.762,100,2.61E-166,573,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0031,Haynesina_germanica_18209,Haynesina_germanica_18209,N/A,99.69,100,7.22E-172,592,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0032,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0033,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0034,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0035,Sorites_sp1_Spermonde,Sorites_sp1_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0036,Calcarina_spengleri_Rik_9352_consensus0_1732_Spermonde,Calcarina_spengleri_Rik_9352_consensus0_1732_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0037,Amphistegina_radiata_Spermonde,Amphistegina_radiata_Spermonde,N/A,99.381,100,3.36E-170,586,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0038,Rosalina_sp._17595,Rosalina_sp._17595,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0040,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0041,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0042,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,90.966,100,4.60E-124,433,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0043,Rosalina_sp._17595,Rosalina_sp._17595,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0044,Elphidium_williamsoni_13170,Elphidium_williamsoni_13170,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0045,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0046,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,96.904,100,7.37E-157,542,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0047,Calcarina_sp._Spermonde,Calcarina_sp._Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0048,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0049,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.119,99,2.63E-161,556,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0050,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,99.69,100,7.22E-172,592,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0051,Cribrorotalia_sp._17611,Cribrorotalia_sp._17611,N/A,89.375,99,3.63E-115,403,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0052,Textularid_Rik_9398_consensus128_73,Textularid_Rik_9398_consensus128_73,N/A,91.615,100,2.12E-127,444,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0053,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0054,Heterostegina_depressa_sp2_Spermonde,Heterostegina_depressa_sp2_Spermonde,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0055,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,99.688,100,9.28E-171,588,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0056,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0057,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,95.016,100,9.61E-146,505,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0059,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,99.377,100,4.32E-169,582,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0060,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0061,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0062,Heterostegina_depressa_sp1_Spermonde,Heterostegina_depressa_sp1_Spermonde,N/A,98.762,100,2.61E-166,573,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0064,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,94.427,100,1.62E-143,497,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0065,Amphistegina_radiata_Spermonde,Amphistegina_radiata_Spermonde,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0067,Textularid_Rik_9398_consensus128_73,Textularid_Rik_9398_consensus128_73,N/A,90.683,100,2.14E-122,427,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0068,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0069,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,99.379,99,1.21E-169,584,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0070,Calcarina_sp._5164_Spermonde,Calcarina_sp._5164_Spermonde,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0071,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,98.765,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0072,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,99.381,100,3.36E-170,586,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0073,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,99.381,100,3.36E-170,586,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0074,Discanomalina_coronata_18034,Discanomalina_coronata_18034,N/A,94.984,99,1.25E-144,501,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0075,Baculogypsinoides_spinosus_8078_8079_8080,Baculogypsinoides_spinosus_8078_8079_8080,N/A,100,99,5.58E-173,595,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0077,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,94.118,100,7.53E-142,492,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0078,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,95.666,100,3.45E-150,520,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0079,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0081,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,95.283,98,3.48E-145,503,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0082,Rosalina_sp._17595,Rosalina_sp._17595,N/A,99.371,98,2.02E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0083,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,95.484,96,2.09E-142,494,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0084,Sorites_sp1_Spermonde,Sorites_sp1_Spermonde,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0085,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0086,Discanomalina_coronata_18034,Discanomalina_coronata_18034,N/A,94.921,98,2.09E-142,494,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0087,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,98.065,96,9.54E-156,538,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0088,Textularid_Rik_9397_consensus4_105,Textularid_Rik_9397_consensus4_105,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0089,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,99.381,100,3.36E-170,586,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0090,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0091,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,98.452,100,1.22E-164,568,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0092,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,90.093,99,1.30E-119,418,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0093,Calcarina_gaudichaudii,Calcarina_gaudichaudii,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0094,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0095,Miliolid_Rik_9400_9405_Israel,Miliolid_Rik_9400_9405_Israel,N/A,99.688,100,9.28E-171,588,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0096,Textularid_Rik_9398_consensus128_73,Textularid_Rik_9398_consensus128_73,N/A,90.994,100,4.60E-124,433,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0097,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,97.523,100,1.22E-159,551,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0098,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0099,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0100,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,99.688,100,9.28E-171,588,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0101,Alveolinella_quoyi_Spermonde,Alveolinella_quoyi_Spermonde,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0102,Oridorsalis_umbonatus_18653,Oridorsalis_umbonatus_18653,N/A,96.855,98,4.44E-154,532,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0103,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0104,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,99.377,100,4.32E-169,582,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0105,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0106,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,95.806,96,4.50E-144,499,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0107,Entzia_macrescens_13533,Entzia_macrescens_13533,N/A,87.662,95,2.87E-101,357,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0108,Amphistegina_lessonii,Amphistegina_lessonii,N/A,99.071,99,5.62E-168,579,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0110,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,98.442,100,4.35E-164,566,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0111,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,100,94,2.02E-162,560,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0112,Elphidium_williamsoni_13170,Elphidium_williamsoni_13170,N/A,95.356,100,1.61E-148,514,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0113,Textularid_Rik_9398_consensus128_73,Textularid_Rik_9398_consensus128_73,N/A,100,100,1.99E-172,593,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0114,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0115,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,96.573,100,4.41E-154,532,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0116,Amphistegina_radiata_Spermonde,Amphistegina_radiata_Spermonde,N/A,99.071,99,5.62E-168,579,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0117,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,96.885,100,9.47E-156,538,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0118,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0119,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,85.67,99,1.04E-95,339,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0120,Peneroplis_sp1_Spermonde,Peneroplis_sp1_Spermonde,N/A,95.016,100,9.61E-146,505,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0121,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,98.754,100,9.34E-166,571,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0122,Sorites_sp_Rik_9395_9409_9410_Israel,Sorites_sp_Rik_9395_9409_9410_Israel,N/A,98.75,99,3.36E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0123,Planorbulinella_Rik_9331_consensus21_181,Planorbulinella_Rik_9331_consensus21_181,N/A,93.827,99,3.50E-140,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0124,Rosalina_sp._17595,Rosalina_sp._17595,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0125,Discanomalina_coronata_18034,Discanomalina_coronata_18034,N/A,95.925,99,1.24E-149,518,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0126,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0127,Pyrgo_Rik_9347_consensus0_1557,Pyrgo_Rik_9347_consensus0_1557,N/A,99.065,100,2.01E-167,577,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0128,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,93.871,96,1.64E-133,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0129,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,100,100,1.55E-173,597,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0130,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,99.377,100,4.32E-169,582,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0131,Cribrorotalia_sp._17611,Cribrorotalia_sp._17611,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0132,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,88.854,99,6.07E-113,396,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
