ESVs,Subject,Subject accession,Subject Taxonomy ID,Identity percentage,Coverage,evalue,bitscore,Source,Taxonomy
ESV_11,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_paludosa,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_paludosa,N/A,93.916,100,1.77E-111,398,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_paludosa
ESV_12,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp,N/A,94.677,100,8.16E-115,409,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp.
ESV_13,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp,N/A,87.452,100,3.96E-83,303,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp.
ESV_14,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,N/A,88.213,100,1.83E-86,315,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri
ESV_15,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,N/A,90.84,99,1.39E-97,351,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans
ESV_16,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Pinnularia/Pinnularia_acrosphaeria,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Pinnularia/Pinnularia_acrosphaeria,N/A,91.635,100,1.79E-101,364,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Pinnularia/Pinnularia_acrosphaeria
ESV_17,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata,N/A,90.038,99,1.09E-93,339,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata
ESV_18,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,85.932,100,1.85E-76,281,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.
ESV_19,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana,N/A,86.364,100,3.99E-78,287,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana
ESV_20,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,88.559,89,1.43E-77,285,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_21,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,87.352,96,3.08E-79,291,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_22,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp,N/A,88.213,100,1.83E-86,315,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephoroidiella/Opephoroidiella_sp.
ESV_23,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana,N/A,85.606,100,8.63E-75,276,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_lorenziana
ESV_24,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,N/A,97.338,100,1.73E-126,448,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta
ESV_25,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp,N/A,89.015,100,8.45E-90,326,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp.
ESV_26,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,N/A,97.338,100,1.73E-126,448,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata
ESV_28,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._palea,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._palea,N/A,87.072,100,1.84E-81,298,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._palea
ESV_29,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,87.747,96,6.62E-81,296,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_30,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,N/A,99.62,100,1.70E-136,481,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii
ESV_31,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,85.606,100,8.63E-75,276,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.
ESV_33,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_traheaformis,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_traheaformis,N/A,84.746,89,1.46E-62,235,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_traheaformis
ESV_34,Eukaryota/Bacillariophyta/Fragilariophyceae/Cyclophorales/Cyclophoraceae/Cyclophora/Cyclophora_cf._minor,Eukaryota/Bacillariophyta/Fragilariophyceae/Cyclophorales/Cyclophoraceae/Cyclophora/Cyclophora_cf._minor,N/A,87.449,94,5.16E-77,283,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Cyclophorales/Cyclophoraceae/Cyclophora/Cyclophora_cf._minor
ESV_35,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_constrictum,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_constrictum,N/A,100,100,3.66E-138,486,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_constrictum
ESV_36,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus,N/A,99.62,100,1.70E-136,481,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus
ESV_37,Eukaryota/Bacillariophyta/Fragilariophyceae/Rhaphoneidales/Rhaphoneidaceae/Neodelphineis/Neodelphineis_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Rhaphoneidales/Rhaphoneidaceae/Neodelphineis/Neodelphineis_sp,N/A,85.496,99,3.10E-74,274,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Rhaphoneidales/Rhaphoneidaceae/Neodelphineis/Neodelphineis_sp.
ESV_38,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,N/A,86.207,99,5.16E-77,283,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima
ESV_39,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,N/A,87.072,100,1.84E-81,298,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri
ESV_40,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_shrubsolei,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_shrubsolei,N/A,90.114,100,8.39E-95,342,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_shrubsolei
ESV_41,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_sp._Na28A1,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_sp._Na28A1,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_sp._Na28A1
ESV_42,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus,N/A,99.24,100,7.93E-135,475,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_tenuissimus
ESV_43,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Minutocellus/Minutocellus_polymorphus,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Minutocellus/Minutocellus_polymorphus,N/A,100,100,3.66E-138,486,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Minutocellus/Minutocellus_polymorphus
ESV_44,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Nitzschia_cf._socialis,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Nitzschia_cf._socialis,N/A,95.019,99,2.27E-115,411,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Nitzschia_cf._socialis
ESV_45,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_cf._fastuosus,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_cf._fastuosus,N/A,84.291,98,1.45E-67,252,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_cf._fastuosus
ESV_46,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,96.552,99,4.84E-122,433,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata
ESV_47,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Minidiscus/Minidiscus_trioculatus,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Minidiscus/Minidiscus_trioculatus,N/A,99.24,100,7.93E-135,475,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Minidiscus/Minidiscus_trioculatus
ESV_48,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Achnanthes/Achnanthes_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Achnanthes/Achnanthes_sp,N/A,86.312,99,1.43E-77,285,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Achnanthes/Achnanthes_sp.
ESV_49,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,95.057,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium
ESV_50,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_reskoi,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_reskoi,N/A,95.402,99,4.87E-117,416,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_reskoi
ESV_51,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,N/A,87.833,100,8.51E-85,309,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri
ESV_52,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,N/A,85.824,99,2.40E-75,278,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima
ESV_53,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,N/A,99.62,100,1.70E-136,481,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana
ESV_55,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,96.958,100,8.04E-125,442,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.
ESV_56,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_minuscula,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_minuscula,N/A,94.318,100,3.79E-113,403,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_minuscula
ESV_57,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_sp,N/A,99.62,100,1.70E-136,481,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_sp.
ESV_59,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_striata,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_striata,N/A,99.24,100,7.93E-135,475,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_striata
ESV_60,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,N/A,97.701,99,4.81E-127,449,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta
ESV_61,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Koernerella/Koernerella_recticostata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Koernerella/Koernerella_recticostata,N/A,84.615,98,3.13E-69,257,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Koernerella/Koernerella_recticostata
ESV_62,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Hemiaulaceae/Cerataulina/Cerataulina_pelagica,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Hemiaulaceae/Cerataulina/Cerataulina_pelagica,N/A,98.859,100,3.69E-133,470,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Hemiaulaceae/Cerataulina/Cerataulina_pelagica
ESV_63,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._cupulifera,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._cupulifera,N/A,88.973,100,8.45E-90,326,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._cupulifera
ESV_64,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,86.486,98,1.43E-77,285,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_66,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,N/A,98.859,100,3.69E-133,470,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana
ESV_67,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_galaxiae,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_galaxiae,N/A,100,100,3.66E-138,486,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_galaxiae
ESV_68,Eukaryota/Ochrophyta/Bolidophyceae/Bolidomonadales/Bolidomonadaceae/Bolidomonas/Bolidomonas_pacifica,Eukaryota/Ochrophyta/Bolidophyceae/Bolidomonadales/Bolidomonadaceae/Bolidomonas/Bolidomonas_pacifica,N/A,100,100,3.66E-138,486,Genbank,Eukaryota/Ochrophyta/Bolidophyceae/Bolidomonadales/Bolidomonadaceae/Bolidomonas/Bolidomonas_pacifica
